ID CLIENTE,EDAD,GENERACION,GENERO,ESTADO CIVIL,DEPARTAMENTO VIVIENDA,MUNICIPIO VIVIENDA,INGRESOS MENSUALES,PROFESION,DEPARTAMENTO LABORAL,MUNICIPIO LABORAL,TIENE BANCA ELECTRONICA,PRIMERA APERTURA,ULTIMA TRANSACCION CLIENTE
879569,62,Baby Boomers,Masculino,Soltero,Guatemala,Villa Nueva,0,Comerciante,Error,Error,No,19990408,20221229
2864264,37,Millenials,Femenino,Soltero,Chimaltenango,Chimaltenango,10222,Licenciatura En Administracion De Empresas,Guatemala,Guatemala,Si,20051111,20221230
4279151,50,Generacion X,Masculino,Casado,Guatemala,Guatemala,50000,Licenciatura En Administracion De Empresas,Guatemala,Guatemala,Si,20211025,20221228
1415868,61,Baby Boomers,Masculino,Casado,Guatemala,Guatemala,10000,Bachiller En Computacion,Guatemala,Guatemala,Si,20060519,20221225
4179361,56,Generacion X,Masculino,Casado,Guatemala,Guatemala,3582,Sexto Primaria,Guatemala,Guatemala,No,20210319,20221225
1538337,29,Millenials,Masculino,Union,Chiquimula,Chiquimula,1412,Tercero Basico,Guatemala,Guatemala,Si,20160816,20220114
4392157,19,Generacion Z,Masculino,Soltero,Alta Verapaz,Coban,1910,Tercero Basico,Guatemala,Guatemala,No,20220609,20221020
1305648,36,Millenials,Masculino,Soltero,Guatemala,Guatemala,2689,Educacion Basica Completa,Guatemala,Guatemala,No,20120206,20221217
1541691,38,Millenials,Masculino,Soltero,Guatemala,San Pedro Ayampuc,0,Sexto Primaria,Guatemala,Mixco,Si,20140411,20221228
3694135,23,Generacion Z,Femenino,Soltero,Retalhuleu,El Asintal,3000,Educacion Basica Completa,Error,Error,Si,20180907,20221227
4107741,25,Generacion Z,Masculino,Soltero,Santa Rosa,Cuilapa,3000,Bachiller En Computacion,Santa Rosa,Cuilapa,Si,20200828,20221229
4414838,55,Generacion X,Masculino,Soltero,Guatemala,Guatemala,6593,Estudiante,Guatemala,Guatemala,No,19941214,20221223
4082675,24,Generacion Z,Femenino,Soltero,Guatemala,San Jose Pinula,3391,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,Si,20200509,20221230
1640341,27,Millenials,Femenino,Soltero,Guatemala,San Juan Sacatepequez,2773,Perito  Contador,Guatemala,Mixco,No,20170211,20221230
1498203,34,Millenials,Masculino,Soltero,Guatemala,Guatemala,6154,Educacion Basica Completa,Guatemala,Guatemala,Si,20160926,20221223
3894037,28,Millenials,Masculino,Soltero,Guatemala,Villa Nueva,3897,Bachiller En Ciencias Y Letras,Guatemala,Villa Nueva,Si,20190224,20221230
3381368,47,Generacion X,Femenino,Soltero,Guatemala,Villa Nueva,0,Licenciatura En Psicologia Escolar,Error,Error,Si,20171115,20221230
3862839,33,Millenials,Femenino,Soltero,Guatemala,Mixco,11172,Administrador,Guatemala,Guatemala,Si,20111216,20221230
1118065,32,Millenials,Masculino,Soltero,Guatemala,Villa Canales,4561,Educacion Basica Completa,Guatemala,Villa Canales,No,20121011,20221229
4129326,37,Millenials,Masculino,Casado,Guatemala,San Jose El Golfo,12295,Perito  Contador,Guatemala,Guatemala,Si,20070522,20221230
3189137,56,Generacion X,Femenino,Soltero,Guatemala,Guatemala,1811,Perito  Contador,Guatemala,Guatemala,Si,19980729,20221230
4191675,35,Millenials,Masculino,Casado,San Marcos,San Pedro Sacatepequez,10000,Tercero Basico,Error,Error,Si,20111230,20220811
1606540,33,Millenials,Masculino,Soltero,Quetzaltenango,Coatepeque,2763,Agricultor,Quetzaltenango,Coatepeque,No,20140513,20221230
3956906,43,Generacion X,Femenino,Soltero,Guatemala,Villa Nueva,4897,Sastre,Guatemala,Guatemala,Si,20061107,20221230
4252718,25,Generacion Z,Masculino,Soltero,Quetzaltenango,Quetzaltenango,5754,Educacion Basica Completa,Guatemala,Guatemala,Si,20210904,20221230
3544328,23,Generacion Z,Masculino,Soltero,Guatemala,Guatemala,0,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,Si,20001222,20210215
2906016,33,Millenials,Femenino,Soltero,Chimaltenango,Comalapa,0,Servicio Domestico,Error,Error,No,20120626,20220109
3498295,68,Baby Boomers,Femenino,Casado,Guatemala,Guatemala,10000,Tercero Basico,Error,Error,No,20180118,20221217
4089627,23,Generacion Z,Masculino,Soltero,Guatemala,Villa Nueva,0,Educacion Basica Completa,Error,Error,Si,20200615,20221223
807737,36,Millenials,Femenino,Soltero,Guatemala,Guatemala,0,Sexto Primaria,Guatemala,Guatemala,No,20101026,20220321
1632240,38,Millenials,Masculino,Soltero,Guatemala,Mixco,2500,Bachiller En Ciencias Y Letras,Guatemala,Mixco,No,20170206,20220308
4316264,35,Millenials,Masculino,Casado,Escuintla,Santa Lucia Cotzumalguapa,3000,Tercero Basico,Error,Error,No,20220128,20221224
4386666,22,Generacion Z,Femenino,Soltero,Alta Verapaz,Fray Bartolome De Las Casas,10000,Ama De Casa,Error,Error,No,20220530,20220912
1339062,34,Millenials,Masculino,Soltero,Escuintla,Tiquisate,4423,Tercero Basico,Escuintla,Tiquisate,No,20140807,20221230
1172069,33,Millenials,Masculino,Soltero,San Marcos,Ocos,4922,Educacion Basica Completa,San Marcos,Ocos,No,20150304,20221224
4125957,46,Generacion X,Femenino,Casado,Guatemala,Guatemala,0,Comerciante,Error,Error,Si,20201112,20211007
1571945,45,Generacion X,Femenino,Soltero,Retalhuleu,Retalhuleu,3961,Bachiller En Ciencias Y Letras,Quetzaltenango,Quetzaltenango,No,20161123,20221223
1012484,41,Millenials,Masculino,Casado,Guatemala,Santa Catarina Pinula,5732,Bachiller En Computacion,Guatemala,Guatemala,Si,20070109,20221230
3688174,33,Millenials,Masculino,Soltero,Quiche,Joyabaj,3008,Agricultor,Quiche,Joyabaj,Si,20180821,20221230
1205931,52,Generacion X,Femenino,Soltero,Jalapa,Monjas,50000,Servicio Domestico,Error,Error,Si,20130107,20221230
4178968,28,Millenials,Masculino,Soltero,Guatemala,Guatemala,4964,Perito  Contador,Guatemala,Guatemala,Si,20210318,20221230
4115592,26,Generacion Z,Masculino,Soltero,Alta Verapaz,San Cristobal Verapaz,3508,Agricultor,Error,Error,No,20201001,20221230
1647477,45,Generacion X,Femenino,Casado,Guatemala,Guatemala,0,Educacion Basica Completa,Guatemala,Guatemala,Si,20100407,20221224
1279926,30,Millenials,Masculino,Soltero,Suchitepequez,Mazatenango,50000,Comerciante,Error,Error,Si,20150909,20221223
4111638,52,Generacion X,Femenino,Casado,Guatemala,Villa Nueva,0,Secretaria Bilingue,Error,Error,Si,20200914,20221227
1017861,56,Generacion X,Masculino,Casado,Guatemala,Guatemala,6436,Ingeneria Industrial,Guatemala,Guatemala,No,20040727,20221229
4026828,50,Generacion X,Masculino,Soltero,Escuintla,Escuintla,0,Educacion Basica Completa,Error,Error,Si,20200110,20220122
4085083,23,Generacion Z,Masculino,Soltero,El Peten,Flores,3000,Perito  Contador,El Peten,Flores,Si,20190814,20221230
4423261,46,Generacion X,Masculino,Soltero,Guatemala,Guatemala,10000,Educacion Basica Completa,Guatemala,Guatemala,Si,20040206,20220912
2758758,30,Millenials,Masculino,Soltero,El Peten,Sayaxche,7396,Mecanico,Guatemala,Guatemala,No,20010314,20221229
3480709,41,Millenials,Masculino,Soltero,Guatemala,Guatemala,3292,Perito  Electrisista,Guatemala,Guatemala,Si,20070309,20220316
4230322,31,Millenials,Masculino,Casado,Suchitepequez,Mazatenango,3411,Bachiller  Industrial,Error,Error,Si,20210706,20221228
1668097,63,Baby Boomers,Femenino,Casado,Guatemala,Guatemala,0,Comerciante,Error,Error,Si,20170228,20221223
2757966,31,Millenials,Femenino,Casado,Guatemala,Villa Nueva,8469,Secretaria  Comercial,Guatemala,Villa Nueva,Si,20120213,20221230
4423558,28,Millenials,Femenino,Soltero,San Marcos,Ocos,3000,Ama De Casa,Error,Error,No,20220803,20220910
4093786,68,Baby Boomers,Masculino,Soltero,Guatemala,Mixco,0,Tercero Basico,Error,Error,No,20200626,20210801
4097982,21,Generacion Z,Masculino,Soltero,Guatemala,Mixco,0,Tercero Basico,Guatemala,San Juan Sacatepequez,Si,20200718,20211015
3306548,37,Millenials,Masculino,Soltero,Sacatepequez,Sumpango,4385,Comerciante,Chimaltenango,Patzicia,Si,20050716,20221230
1524159,36,Millenials,Masculino,Soltero,Guatemala,Guatemala,3923,Educacion Basica Completa,Guatemala,Guatemala,No,20131226,20221228
3932660,35,Millenials,Masculino,Soltero,El Peten,Sayaxche,5287,Perito  Contador,El Peten,Sayaxche,Si,20190514,20221229
3625446,56,Generacion X,Masculino,Casado,Retalhuleu,Retalhuleu,0,Error,Guatemala,Guatemala,Si,20010329,20221228
4383318,38,Millenials,Masculino,Casado,Quetzaltenango,Quetzaltenango,24054,Licenciatura En Derecho,Error,Error,Si,20220525,20220811
4474548,21,Generacion Z,Femenino,Soltero,Guatemala,Chinautla,3000,Perito  En Administracion De Empresas,Error,Error,Si,20221105,20221210
1471728,44,Generacion X,Masculino,Soltero,Quetzaltenango,Coatepeque,5000,Bachiller En Ciencias Y Letras,Guatemala,Guatemala,No,20140422,20221230
1790950,32,Millenials,Masculino,Casado,Sacatepequez,Ciudad Vieja,3561,Educacion Basica Completa,Sacatepequez,Antigua Sacatepequez,No,20140604,20221230
660484,63,Baby Boomers,Masculino,Soltero,Santa Rosa,Casillas,0,Educacion Basica Completa,Error,Error,No,20091008,20221214
4130325,32,Millenials,Masculino,Soltero,Izabal,Morales,10848,Perito  Contador,Zacapa,Teculutan,Si,20140619,20221229
3542015,24,Generacion Z,Masculino,Soltero,Guatemala,Mixco,10000,Bachiller En Computacion,Guatemala,Guatemala,Si,20180322,20221211
2596285,81,Generacion Silenciosa,Error,Error,Error,Error,0,Error,Error,Error,No,20140801,20220814
4392608,28,Millenials,Masculino,Soltero,Guatemala,Santa Catarina Pinula,14403,Ingeneria En Sistemas,Guatemala,Guatemala,Si,20220610,20221228
